code,event_type_cd,description
1.AA,I,SEC. 1(A) CLAIM ADDED
1.AD,I,SEC. 1(A) CLAIM DELETED
1.BA,I,Sec. 1(B) CLAIM ADDED
1.BD,I,Sec. 1(B) CLAIM DELETED
12AB,O,REQUEST FOR REPUB UNDER SECT 12(C) ABANDONED
12AF,I,SECTION 12(C) AFFIDAVIT FILED
15AB,O,AFFIDAVIT UNDER SECT 15 ABANDONED
15AF,I,REGISTERED - SEC. 15 AFFIDAVIT FILED
15AK,O,REGISTERED - SEC. 15 ACKNOWLEDGED
15IA,O,INITIAL REVIEW ACTION MAILED - SECTION 15
44DA,I,SEC. 44(D) CLAIM ADDED
44DD,I,SEC. 44(D) CLAIM DELETED
44EA,I,SEC. 44(E) CLAIM ADDED
44ED,I,SEC. 44(E) CLAIM DELETED
44ED,O,44(e) PETITION - DENIED
44EG,O,44(e) PETITION - GRANTED
44EM,',44(e) PETITION - DISMISSED
44EM,I,44(e) PETITION - DISMISSED
44EP,I,44(e) PETITION - RECEIVED
7.PR,O,REGISTERED - PARTIAL SEC. 7 ACCEPTED
71.P,O,REGISTERED - PARTIAL SEC 71 ACCEPTED
715F,I,REGISTERED - SEC. 71 & SEC. 15 FILED
71AF,I,REGISTERED-SEC.71 FILED
71AG,O,REGISTERED-SEC.71 ACCEPTED
8.AF,I,REGISTERED - SEC. 8 (6-YR) FILED
8.OK,O,REGISTERED - SEC. 8 (6-YR) ACCEPTED
8.PR,O,REGISTERED - PARTIAL SEC. 8 (6-YR) ACCEPTED
806I,O,INITIAL REVIEW ACTION MAILED - SECT 8 (6 YR)
810I,O,INITIAL REVIEW ACTION MAILED - SECT 8 (10 YR)
815F,I,REGISTERED - SEC. 8 (6-YR) & SEC. 15 FILED
815I,O,INITIAL REVIEW ACTION MAILED - SECT 8 AND 15
89AF,I,REGISTERED - COMBINED SECTION 8 (10-YR) & SEC. 9 FILED
89AG,O,REGISTERED - SEC. 8 (10-YR) ACCEPTED/SEC. 9 GRANTED
89IA,O,INITIAL REVIEW ACTION MAILED - SECT 8 & 9
8AFT,I,REGISTERED - SEC. 8 (10-YR) FILED/CHECK RECORD FOR SEC. 9
8OKT,O,REGISTERED - SEC. 8 (10-YR) ACCEPTED/CHECK RECORD FOR SEC. 9
8PRT,O,REGISTERED - PARTIAL SEC. 8 (10-YR) ACCEPTED
9.AF,I,REGISTERED - SEC. 9 FILED/CHECK RECORD FOR SEC. 8
9G8P,O,REGISTERED - SEC. 9 GRANTED/CHECK RECORD FOR SEC. 8
9INF,O,INITIAL REVIEW ACTION MAILED - SECTION 9
A7OK,O,AMENDMENT UNDER SECTION 7 - PROCESSED
AAUA,E,NOTICE OF ACCEPTANCE OF AMENDMENT TO ALLEGE USE E-MAILED
AAUA,O,NOTICE OF ACCEPTANCE OF AMENDMENT TO ALLEGE USE MAILED
AAUD,F,AMENDMENT OF ALLEGED USE DISAPPROVED
AAUW,S,ALLEGED AMENDMENT TO USE WITHDRAWN
ABN0,O,ABANDONMENT - INCOMPLETE RESPONSE
ABN1,*,ABANDONMENT - EXPRESS MAILED
ABN1,F,ABANDONMENT - EXPRESS MAILED
ABN1,O,ABANDONMENT - EXPRESS MAILED
ABN1,S,ABANDONMENT - EXPRESS MAILED
ABN2,O,ABANDONMENT - FAILURE TO RESPOND OR LATE RESPONSE
ABN3,O,ABANDONMENT - AFTER EX PARTE APPEAL
ABN4,O,ABANDONMENT - AFTER INTER PARTES DECISION
ABN5,O,ABANDONMENT - AFTER PUBLICATION
ABN6,S,ABANDONMENT - NO USE STATEMENT FILED
ABN7,S,ABANDONMENT - DEFECTIVE USE STATEMENT
ABN8,S,ABANDONMENT - AFTER PETITION DECISION(IU CASE)
ABN9,O,ABANDONMENT - DEFECTIVE DIVIDED APPLICATION
ABND,Z,ABANDONMENT DELETED BY TTAB
ACEC,I,AMENDMENT FROM APPLICANT ENTERED
ACFC,P,APPEAL TO CAFC
ADBS,I,1(B) BASIS DELETED; NEW BASIS REQUESTED
ADCH,M,CHANGE OF NAME/ADDRESS REC'D FROM IB
AITU,A,CASE ASSIGNED TO INTENT TO USE PARALEGAL
ALIE,A,ASSIGNED TO LIE
AMD7,I,SEC 7 REQUEST FILED
AMPB,I,AMENDMENT/PETITION AFTER APPROVAL FOR PUB ENTERED
AMPR,I,AMENDMENT ENTERED BY POST REGISTRATION
AMPX,I,APPLICANT AMENDMENT PRIOR TO EXAMINATION
AMPX,O,PRELIMINARY/VOLUNTARY AMENDMENT - ENTERED
AORN,I,ASSIGNMENT OF OWNERSHIP REVIEWED NOT UPDATED
AOUM,I,ASSIGNMENT OF OWNERSHIP UPDATED MANUALLY
APET,A,ASSIGNED TO PETITION STAFF
APRC,O,ADDITIONAL PUB REVIEW COMPLETED
APRE,A,CASE ASSIGNED TO POST REGISTRATION PARALEGAL
ARAA,I,ATTORNEY/DOM.REP.REVOKED AND/OR APPOINTED
ASCK,I,ASSIGNMENT OF OWNERSHIP NOT UPDATED AUTOMATICALLY
ASDF,I,ASSIGNMENT CHANGE WITHDRAWN
ASGN,I,AUTOMATIC UPDATE OF ASSIGNMENT OF OWNERSHIP
ATAP,P,AMENDMENT APPROVED BY ATTORNEY
ATDN,P,AMENDMENT DENIED BY ATTORNEY
ATRQ,I,ATTORNEY REVIEW/DECISION ON AMENDMENT REQUIRED
ATRV,O,ATTORNEY REVIEW COMPLETED
AUPC,I,AMENDMENT TO USE PROCESSING COMPLETE
BARR,T,REEXAM EX PARTE APPEAL RECD AT TTAB
BARX,T,EXPUNGEMENT EX PARTE APPEAL RECEIVED AT TTAB
BDFU,N,BIRTH/DEATH MERGER PROCESSED BY USPTO
BDRD,O,REEXAMINATION PROCEEDING NOT INSTITUTED
BDRN,O,NOTICE OF INCOMPLETE PETITION ISSUED - REEXAMINATION
BDXD,O,EXPUNGEMENT PROCEEDING NOT INSTITUTED
BDXN,O,NOTICE OF INCOMPLETE PETITION ISSUED - EXPUNGEMENT
BNTR,O,NOTICE OF TERMINATION - REEXAMINATION (PAPER-MAILED)
BNTX,O,NOTICE OF TERMINATION - EXPUNGEMENT (PAPER-MAILED)
BPCQ,O,FORWARD TO PRINT CLERK FOR PAPER MAILING
BPET,O,NOTICE OF SUBMISSION OF E/R PETITION TO REGISTRANT'S EMAIL
BPPR,I,PETITION FOR REEXAMINATION RECEIVED
BPRD,O,REEXAMINATION PROCEEDING NOT INSTITUTED
BPRE,I,PETITION FOR EXPUNGEMENT RECEIVED
BPXR,A,ASSIGNED TO REX/EXP PROCEEDING STAFF
BPXX,O,EXPUNGEMENT PROCEEDING NOT INSTITUTED
BR3R,I,PETITIONER'S RESPONSE TO 30 DAY LETTER - REEXAMINATION
BRFA,O,REEXAMINATION FINAL OFFICE ACTION ISSUED
BRNT,O,NOTICE OF TERMINATION ISSUED - REEXAMINATION
BRPI,O,PROCEEDING INSTITUTED - REEXAMINATION
BURX,T,JURISDICTION RESTORED - EXP/REEX PROCEEDING
BX3R,I,PETITIONER'S RESPONSE TO 30 DAY LETTER - EXPUNGEMENT
BXFA,O,EXPUNGEMENT FINAL OFFICE ACTION ISSUED
BXNT,O,NOTICE OF TERMINATION ISSUED - EXPUNGEMENT
BXOA,O,NOTICE OF INSTITUTION / OFFICE ACTION ISSUED - EXPUNGEMENT
BXPI,O,PROCEEDING INSTITUTED - EXPUNGEMENT
C.7C,O,NEW CERTIFICATE UNDER SECTION 7 - PROCESSED
C.7F,I,REQUEST FOR NEW CERTIFICATE FILED
C15A,O,REGISTERED - SEC. 8 (6-YR) ACCEPTED & SEC. 15 ACK.
C15P,O,REGISTERED - PARTIAL SEC. 8 (6-YR) ACCEPTED & SEC. 15 ACK.
C18.,O,CANCELLED SECTION 18-TOTAL
C18P,O,CANCELLED SECTION 18-PARTIAL
C24.,O,CANCELLED SECTION 24-TOTAL
C37.,O,CANCELLED SECTION 37-TOTAL
C37P,O,CANCELLED SECTION 37-PARTIAL
C6AF,O,CANCELLATION UNDER 16A FULL
C6AP,O,CANCELLATION UNDER 16A PARTIAL
C6BF,O,CANCELLATION UNDER 16B FULL
C6BP,O,CANCELLATION UNDER 16B PARTIAL
C7..,O,CANCELLED SECTION 7-TOTAL
C71P,O,CANCELLED SECTION 71 PARTIAL
C71T,O,CANCELLED SECTION 71
C75A,O,REGISTERED - SEC. 71 ACCEPTED & SEC. 15 ACK.
C75P,O,REGISTERED - PARTIAL SEC. 71 ACCEPTED & SEC. 15 ACK.
C7P.,O,CANCELLED SEC. 7 - PARTIAL
C7PF,I,RQST FOR SECT 7 PARTIAL SURRENDER FILED
C7RF,I,REQUEST FOR SECT 7 TOTAL SURRENDER FILED
C8..,O,CANCELLED SEC. 8 (6-YR)
C8.T,O,CANCELLED SEC. 8 (10-YR)
C8P.,O,CANCELLED SECTION 8-PARTIAL
CAEX,O,CANCELLED SEC. 8 (10-YR)/EXPIRED SECTION 9
CAND,T,CANCELLATION DENIED NO. 999999
CANG,D,CANCELLATION GRANTED IN PART/DENIED IN PART 999999
CANG,T,CANCELLATION GRANTED NO. 999999
CANT,T,CANCELLATION TERMINATED NO. 999999
CCCN,T,COUNTERCLAIM CANC. NO. 999999
CCON,T,COUNTERCLAIM OPP. NO. 999999
CEAP,F,EXAMINER'S AMENDMENT/PRIORITY ACTION MAILED
CEAP,O,EXAMINER'S AMENDMENT/PRIORITY ACTION MAILED
CEPE,I,COMBINED EXAMINER'S AMENDMENT/PRIORITY ACTION ENTERED
CFDD,O,REQUEST TO CORRECT FILING DATE DENIED
CFDG,O,REQUEST TO CORRECT FILING DATE - GRANTED
CFDM,I,REQUEST TO CORRECT FILING DATE - DISMISSED
CFIT,O,CASE FILE IN TICRS
CFRC,O,SUBSEQUENT FINAL MAILED
CFRC,R,SUBSEQUENT FINAL REFUSAL WRITTEN
CFRC,S,SUBSEQUENT FINAL MAILED
CHAN,I,APPLICANT/CORRESPONDENCE CHANGES (NON-RESPONSIVE) ENTERED
CHLD,M,CHANGE OF OWNER RECEIVED FROM IB
CHPB,I,CHANGES/CORRECTIONS AFTER PUB APPROVAL ENTERED
CHPN,I,APPLICANT SUPPLIED CHANGES/CORRECTIONS AFTER PUB APPROVAL NOT ENT
CIID,O,REQUEST TO CANCEL INADVERTENTLY ISSUED DENIED
CIIG,O,REQUEST TO CANCEL INADVERTENTLY ISSUED REGISTRATION - GRANTED
CIIM,I,REQUEST TO CANCEL INADVERTENTLY ISSUED REGISTRATION - DISMISSED
CMMP,I,MISCELLANEOUS PAPER
CNCF,O,CONTINUATION OF FINAL REFUSAL MAILED
CNCF,R,ACTION CONTINUING A FINAL - COMPLETED
CNCF,S,ACTION CONTINUING FINAL - COMPLETED
CNCF,W,SU - ACTION CONTINUING FINAL - WRITTEN
CNEA,*,EXAMINER'S AMENDMENT COMPLETED
CNEA,F,EXAMINER'S AMENDMENT MAILED
CNEA,O,EXAMINERS AMENDMENT MAILED
CNEA,R,EXAMINERS AMENDMENT -WRITTEN
CNEA,S,EXAMINERS AMENDMENT -WRITTEN
CNEA,W,EXAMINERS AMENDMENT -WRITTEN
CNES,O,EXAMINERS STATEMENT MAILED
CNES,R,EXAMINERS STATEMENT - COMPLETED
CNES,S,EXAMINERS STATEMENT MAILED
CNES,W,SU - EXAMINER STATEMENT - WRITTEN
CNFR,F,FINAL REFUSAL MAILED
CNFR,O,FINAL REFUSAL MAILED
CNFR,R,FINAL REFUSAL WRITTEN
CNFR,S,FINAL REFUSAL MAILED
CNFR,W,SU - FINAL REFUSAL - WRITTEN
CNPR,P,ALLOWED PRINCIPAL REGISTER - SOU ACCEPTED
CNRT,*,NON-FINAL ACTION MAILED
CNRT,F,NON-FINAL ACTION MAILED
CNRT,O,NON-FINAL ACTION MAILED
CNRT,R,NON-FINAL ACTION WRITTEN
CNRT,S,NON-FINAL ACTION MAILED
CNRT,W,SU - NON-FINAL ACTION - WRITTEN
CNRU,F,DISAPPROVAL - AMENDMENT TO USE MAILED
CNRU,O,DISAPPROVAL - AMENDMENT TO USE MAILED
CNSA,O,APPROVED FOR PUB - PRINCIPAL REGISTER
CNSA,P,APPROVED FOR PUB - PRINCIPAL REGISTER
CNSI,F,SUSPENSION INQUIRY MAILED
CNSI,O,INQUIRY AS TO SUSPENSION MAILED
CNSI,R,SUSPENSION INQUIRY WRITTEN
CNSI,S,INQUIRY AS TO SUSPENSION MAILED
CNSI,W,SU - SUSPENSION INQUIRY - WRITTEN
CNSL,*,LETTER OF SUSPENSION MAILED
CNSL,F,LETTER OF SUSPENSION MAILED
CNSL,O,LETTER OF SUSPENSION MAILED
CNSL,R,SUSPENSION LETTER WRITTEN
CNSL,S,LETTER OF SUSPENSION MAILED
CNSL,W,SU - SUSPENSION LETTER - WRITTEN
CNSR,P,ALLOWED SUPPLEMENTAL REGISTER - SOU ACCEPTED
CNTA,O,APPROVED FOR REGISTRATION SUPPLEMENTAL REGISTER
COAE,I,TEAS APPLICANT/CORRESPONDENCE CHANGES ENTERED
COAR,I,TEAS CHANGE OF OWNER ADDRESS RECEIVED
COC.,O,CORRECTION UNDER SECTION 7 - PROCESSED
COCO,O,CORRECTION OF OFFICE MISTAKE
CORN,I,"CORRECTION FROM THE IB EXAMINED, NO ACTION IS NEEDED"
CORR,I,CORRECTION FROM IB ENTERED - NO REVIEW REQUIRED
CORS,I,CORRECTION REQUEST SENT TO IB
CORV,1,REVIEW OF CORRESPONDENCE COMPLETE - ADDRESS UPDATED
CORV,2,REVIEW OF CORRESPONDENCE COMPLETE - ADDRESS NOT UPDATED
CORV,3,REVIEW OF CORRESPONDENCE COMPLETE - POWER OF ATTORNEY NOT ENTERED
CORV,4,REVIEW OF CORRESPONDENCE COMPLETE - POWER OF ATTORNEY ENTERED
CORV,5,REVIEW OF CORRESPONDENCE COMPLETE - CERTIFICATE OF REG MAILED
CORV,6,REVIEW OF CORRESPONDENCE COMPLETE - INFORMATION MADE OF RECORD
CORV,7,REVIEW OF CORRESPONDENCE COMPLETE - SEE NOTE TO FILE
CORV,P,REVIEW OF CORRESPONDENCE COMPLETE
CPEA,F,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION MAILED
CPEA,O,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION MAILED
CPEA,R,EXAMINERS AMENDMENT AND/OR PRIORITY ACTION - COMPLETED
CPEA,W,SU - EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION - WRITTEN
CPRA,F,PRIORITY ACTION MAILED
CPRA,O,PRIORITY ACTION MAILED
CPRA,R,PRIORITY ACTION WRITTEN
CRAF,I,AMENDMENT CORRESPONDENCE ENTERED
CRCR,E,CORRECTION CREATED FOR IB
CRCV,M,CORRECTION TRANSACTION RECEIVED FROM IB
CREV,I,CORRECTION FROM IB ENTERED - ATTORNEY REVIEW REQUIRED
CRFA,I,CORRESPONDENCE RECEIVED IN LAW OFFICE
CRML,O,CORRESPONDENCE MAILED
CRNO,P,CORRESPONDENCE REVIEWED - NO ACTION NEEDED
CRRR,P,CORRECTION REFUSAL CREATED
CRSN,M,CORRECTION SENT TO IB
CRST,M,"PTO REFUSAL OF CORRECTION FROM IB, SENT TO IB"
CRTP,C,REG. CANCELLED - RESTORED TO PENDENCY
CTDA,T,CT DECISION: AFFIRMED
CTDD,T,CT DECISION: DISMISSED
CTDR,T,CT DECISION: REVERSED AND REMANDED
CTDV,T,CT DECISION: VACATED AND REMANDED
CTRD,T,CT DECISION: DISMISSED AND REMANDED
CU.A,T,CONCURRENT USE NOT INSTITUED
CU.D,T,CONCURRENT USE DENIED NO. 999999
CU.G,T,CONCURRENT USE GRANTED NO. 999999
CU.I,T,CONCURRENT USE PROC. INSTITUTED NO. 999999
CU.M,T,CONCURRENT USE DISSOLVED
CU.T,T,CONCURRENT USE TERMINATED NO. 999999
CWBI,Z,WITHDRAWN BEFORE REGISTRATION
CWBP,Z,WITHDRAWN BEFORE PUBLICATION
D1BN,I,NO BASIS FOR REGISTRATION
D1BR,I,TEAS DELETE 1(B) BASIS RECEIVED
DCPN,M,CHANGE OF OWNER RECEIVED FROM IB
DENA,E,NOTIFICATION OF EFFECT OF CANCELLATION OF INTL REG E-MAILED
DENA,O,NOTIFICATION OF EFFECT OF CANCELLATION OF INTL REG MAILED
DENC,E,NOTIFICATION OF EFFECT OF CANCELLATION OF INTL REG E-MAILED
DENC,O,NOTIFICATION OF EFFECT OF CANCELLATION OF INTL REG MAILED
DETH,P,DEATH OF INTERNATIONAL REGISTRATION
DIPR,E,REEXAMINATION PROCEEDING AUTHORIZED BY DIRECTOR
DIPX,E,EXPUNGEMENT PROCEEDING AUTHORIZED BY DIRECTOR
DMCC,I,DATA MODIFICATION COMPLETED
DOCK,D,ASSIGNED TO EXAMINER
DP1B,I,1(B) BASIS DELETED; PROCEED TO REGISTRATION
DPCC,D,DIVISIONAL PROCESSING COMPLETE
DRHI,O,DIVISIONAL REQUEST HELD INFORMAL
DRRR,I,DIVISIONAL REQUEST RECEIVED
DVUT,I,UNTIMELY DIVISIONAL REQUEST PROCESSED
E15R,I,TEAS SECTION 15 RECEIVED
E815,I,TEAS SECTION 8 & 15 RECEIVED
E89R,I,TEAS SECTION 8 & 9 RECEIVED
EAAU,I,TEAS AMENDMENT OF USE RECEIVED
EADG,I,TEAS AMENDMENT TO DELETE G/S RECEIVED
EARE,O,EARLY EXTENSION OF USE REFUSED
EARS,O,EARLY STATEMENT OF USE NOT PROCESSED
ECCA,I,TEAS CHANGE OF CORRESPONDENCE RECEIVED
ECDR,I,TEAS CHANGE OF DOMESTIC REPRESENTATIVES ADDRESS
EEXT,I,SOU TEAS EXTENSION RECEIVED
EISU,I,TEAS STATEMENT OF USE RECEIVED
EMRV,E,EMAIL RECEIVED
ENOR,I,TEAS NOTE OF REPLACEMENT RECEIVED
EPEN,O,COMBINED EXAMINER'S AMENDMENT/PRIORITY ACTION AUTOMATIC ENTRY
EPGS,I,TEAS PETITION TO REVIVE AND REQUEST TO DELETE 1B OR G/S
EPPA,I,TEAS POST PUBLICATION AMENDMENT RECEIVED
EPRR,I,TEAS PETITION FOR POST REGISTRATION MATTERS RECEIVED
ERCF,I,TEAS REQUEST TO CHANGE FILING DATE.
ERFR,I,TEAS REQUEST FOR RECONSIDERATION RECEIVED
ERFT,I,TEAS REQUEST FOR TRANSFORMATION RECEIVED
EROI,I,TEAS RESPONSE TO OFFICE ACTION-ITU RECEIVED
EROP,I,TEAS RESPONSE TO OFFICE ACTION-POST REG RECEIVED
ERRR,O,ON HOLD - ELECTRONIC RECORD REVIEW REQUIRED
ERRS,I,TEAS REQUEST FOR REINSTATEMENT
ERSI,I,TEAS RESPONSE TO SUSPENSION INQUIRY RECEIVED
ERTD,I,TEAS REQUEST TO DIVIDE RECEIVED
ERTI,I,TEAS RESPONSE TO PETITION INQUIRY LETTER
ERTP,I,TEAS RESPONSE TO PETITION DEFICIENCY RECEIVED
ERTR,I,TEAS REQUEST TO DIVIDE REGISTRATION
ES71,I,TEAS SECTION 71 RECEIVED
ES75,I,TEAS SECTION 71 & 15 RECEIVED
ES7R,I,TEAS SECTION 7 REQUEST RECEIVED
ES7S,I,TEAS SECTION 7 SURRENDER RECEIVED
ES8R,I,TEAS SECTION 8 RECEIVED
ETOF,T,EXTENSION OF TIME TO OPPOSE RECEIVED
ETOP,T,EXTENSION OF TIME TO OPPOSE PROCESS - TERMINATED
EWAF,I,TEAS WITHDRAWAL OF ATTORNEY RECEIVED-FIRM RETAINS
EWOR,I,TEAS WITHDRAWAL AS DOMESTIC REPRESENTATIVE RECEIVED
EX1D,S,SOU EXTENSION 1 DENIAL LETTER PREPARED
EX1G,S,SOU EXTENSION 1 GRANTED
EX1M,S,SOU EXTENSION 1 DENIAL LETTER MAILED
EX2D,S,SOU EXTENSION 2 DENIAL LETTER PREPARED
EX2G,S,SOU EXTENSION 2 GRANTED
EX2M,S,SOU EXTENSION 2 DENIAL LETTER MAILED
EX3D,S,SOU EXTENSION 3 DENIAL LETTER PREPARED
EX3G,S,SOU EXTENSION 3 GRANTED
EX3M,S,SOU EXTENSION 3 DENIAL LETTER PREPARED
EX4D,S,SOU EXTENSION 4 DENIAL LETTER PREPARED
EX4G,S,SOU EXTENSION 4 GRANTED
EX4M,S,SOU EXTENSION 4 DENIAL LETTER PREPARED
EX5D,S,SOU EXTENSION 5 DENIAL LETTER PREPARED
EX5G,S,SOU EXTENSION 5 GRANTED
EX5M,S,SOU EXTENSION 5 DENIAL LETTER PREPARED
EXAB,I,EXPRESS ABANDONMENT RECEIVED
EXAF,T,EXPARTE APPEAL RECEIVED AT TTAB
EXAR,I,TEAS EXPRESS ABANDONMENT RECEIVED
EXAR,T,EXPARTE APPEAL AFFIRMED/REVERSED IN PART
EXDA,T,EXPARTE APPEAL DISCLAIMER ACCEPTED
EXDD,T,EXPARTE APPEAL DISMISSED
EXDM,T,EXPARTE APPEAL DISMISSED AS MOOT
EXDR,T,EXPARTE APPEAL DISMISSED REMANDED
EXFB,T,EXPARTE APPEAL DISMISSED - FAILURE TO FILE BRIEF
EXNI,T,EXPARTE APPEAL TO BOARD NOT ENTERTAINED
EXPA,T,EX PARTE APPEAL-REFUSAL AFFIRMED
EXPI,T,EX PARTE APPEAL-INSTITUTED
EXPR,T,EX PARTE APPEAL-REFUSAL REVERSED
EXPT,T,EXPARTE APPEAL TERMINATED
EXRA,E,NOTICE OF APPROVAL OF EXTENSION REQUEST E-MAILED
EXRA,O,NOTICE OF APPROVAL OF EXTENSION REQUEST MAILED
EXRE,T,EXPARTE APPEAL REINSTATED
EXRG,O,EXPIRED SEC. 9
EXRR,T,EXPARTE APPEAL REVERSED AND REMANDED
EXT1,S,SOU EXTENSION 1 FILED
EXT2,S,SOU EXTENSION 2 FILED
EXT3,S,SOU EXTENSION 3 FILED
EXT4,S,SOU EXTENSION 4 FILED
EXT5,S,SOU EXTENSION 5 FILED
FAXX,I,FAX RECEIVED
FAXX,O,FAX SENT
FBCS,P,REPLACEMENT SENT TO IB
FBNX,P,REPLACEMENT TRANSACTION PROCESSED BY IB
FFDM,I,FILING RECEIPT CORRECTION ENTERED
FICR,P,"FINAL DISPOSITION NOTICE CREATED, TO BE SENT TO IB"
FICS,P,FINAL DISPOSITION NOTICE SENT TO IB
FIMP,P,FINAL DISPOSITION PROCESSED
FINA,P,FINAL DECISION PROCESSED AND NO ACTION REQUIRED
FINA,R,FINAL DISPOSITION REVIEWED - NO ACTION REQUIRED BY OFFICE
FINO,P,FINAL DECISION TRANSACTION PROCESSED BY IB
FINP,P,FINAL DECISION TRANSACTION PROCESSED BY IB
FINT,P,FINAL DECISION TRANSACTION PROCESSED BY IB
FINV,P,FINAL DECISION TRANSACTION PROCESSED BY IB
FISN,P,FINAL DECISION PROCESSED AND SENT TO IB
FIXD,O,ELECTRONIC RECORD REVIEW COMPLETE
GAUD,F,NOTICE OF UNRESPONSIVE AMENDMENT - E-MAILED
GAUD,O,NOTICE OF UNRESPONSIVE AMENDMENT - E-MAILED
GAUN,O,NOTIFICATION OF NOTICE OF UNRESPONSIVE AMENDMENT - E-MAILED
GEA1,O,NOTIFICATION OF ACTION DENYING REQ FOR RECON E-MAILED
GEA2,O,NOTIFICATION OF ACTION GRANTING REQ FOR RECON E-MAILED
GEAN,O,NOTIFICATION OF EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED
GEAP,F,EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED
GEAP,O,EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED
GECD,O,ACTION DENYING REQ FOR RECON E-MAILED
GECD,S,ACTION DENYING REQ FOR RECON E-MAILED
GECG,O,ACTION GRANTING REQ FOR RECON E-MAILED
GECG,S,ACTION GRANTING REQ FOR RECON E-MAILED
GNCF,O,CONTINUATION OF FINAL REFUSAL E-MAILED
GNCF,S,CONTINUATION OF FINAL REFUSAL E-MAILED
GNCN,O,NOTIFICATION OF CONTINUATION OF FINAL REFUSAL E-MAILED
GNEA,*,EXAMINERS AMENDMENT E-MAILED
GNEA,F,EXAMINERS AMENDMENT E-MAILED
GNEA,O,EXAMINERS AMENDMENT E-MAILED
GNEA,S,EXAMINERS AMENDMENT E-MAILED
GNEN,O,NOTIFICATION OF EXAMINERS AMENDMENT E-MAILED
GNES,O,EXAMINERS STATEMENT E-MAILED
GNFN,O,NOTIFICATION OF FINAL REFUSAL EMAILED
GNFR,F,FINAL REFUSAL E-MAILED
GNFR,O,FINAL REFUSAL E-MAILED
GNFR,S,FINAL REFUSAL E-MAILED
GNPA,F,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION E-MAILED
GNPA,O,SU - EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION E-MAILED
GNPE,F,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION E-MAILED
GNPE,O,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION E-MAILED
GNR1,O,NOTIFICATION OF DISAPPROVAL - AMENDMENT TO USE E-MAILED
GNRN,O,NOTIFICATION OF NON-FINAL ACTION E-MAILED
GNRT,*,NON-FINAL ACTION E-MAILED
GNRT,F,NON-FINAL ACTION E-MAILED
GNRT,O,NON-FINAL ACTION E-MAILED
GNRT,S,NON-FINAL ACTION E-MAILED
GNRU,F,DISAPPROVAL - AMENDMENT TO USE E-MAILED
GNRU,O,DISAPPROVAL - AMENDMENT TO USE E-MAILED
GNS1,O,NOTIFICATION OF SUBSEQUENT FINAL EMAILED
GNS2,O,NOTIFICATION OF INQUIRY AS TO SUSPENSION E-MAILED
GNS3,O,NOTIFICATION OF LETTER OF SUSPENSION E-MAILED
GNSF,O,SUBSEQUENT FINAL EMAILED
GNSF,S,SUBSEQUENT FINAL EMAILED
GNSI,F,SUSPENSION INQUIRY E-MAILED
GNSI,O,INQUIRY AS TO SUSPENSION E-MAILED
GNSI,S,INQUIRY TO SUSPENSION E-MAILED
GNSL,*,LETTER OF SUSPENSION E-MAILED
GNSL,F,LETTER OF SUSPENSION E-MAILED
GNSL,O,LETTER OF SUSPENSION E-MAILED
GNSL,S,LETTER OF SUSPENSION E-MAILED
GNSN,O,NOTIFICATION OF EXAMINERS STATEMENT E-MAILED
GPAR,P,"GRANT OF PROTECTION CREATED, TO BE SENT TO IB"
GPAS,P,GRANT OF PROTECTION SENT TO IB
GPNX,P,NOTIFICATION PROCESSED BY IB
GPRA,F,PRIORITY ACTION E-MAILED
GPRA,O,PRIORITY ACTION E-MAILED
GPRN,O,NOTIFICATION OF PRIORITY ACTION E-MAILED
GRDA,O,WITHDRAWAL OF REFUSAL DURING APPEAL E-MAILED
GRML,O,CORRESPONDENCE E-MAILED
GSEA,F,SU - EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED
GSEA,O,SU - EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED
GSEN,O,NOTIFICATION OF SU- EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED
GSPR,F,SU - PRIORITY ACTION E-MAILED
GSPR,O,SU - PRIORITY ACTION E-MAILED
GSPS,O,NOTIFICATION OF SU - PRIORITY ACTION E-MAILED
GSS1,O,NOTIFICATION OF SU - SUBSEQUENT FINAL E-MAILED
GSSF,O,SU - SUBSEQUENT FINAL MAILED
HSCD,I,HIDDEN SENSITIVE CONTENT
ICNA,I,NOTICE OF ALLOWANCE CORRECTION ENTERED
IIOA,O,INADVERTENTLY ISSUED OFFICE ACTION
IIRN,O,INADVERTENTLY ISSUED REGISTRATION NUMBER CANCELLED
INAR,P,INVALIDATION REVIEWED - NO ACTION REQUIRED BY OFFICE
INCD,O,ITU OFFICE ACTION ISSUED FOR DIVISIONAL REQUEST
INCE,O,ITU OFFICE ACTION ISSUED FOR EXTENSION REQUEST
INCS,O,ITU OFFICE ACTION ISSUED FOR STATEMENT OF USE
