code,description,live_dead_indicator
814,SU - RESPONSE AFTER NON-FINAL ACTION - ENTERED,Live/Pending
815,SU - RESPONSE AFTER FINAL REJECTION - ENTERED,Live/Pending
816,SU - NOTICE OF UNRESPONSIVE AMENDMENT - COUNTED,Live/Pending
817,SU - NOTICE OF UNRESPONSIVE AMENDMENT - MAILED,Live/Pending
818,SU - STATEMENT OF USE ACCEPTED - APPROVED FOR REGISTRATION,Live/Pending
819,SU - REGISTRATION REVIEW COMPLETE,Live/Pending
820,SU-EXAMINER'S AMENDMENT/PRIORITY ACTION COUNTED NOT MAILED,Live/Pending
821,SU - EXAMINER'S AMENDMENT/PRIORITY ACTION MAILED,Live/Pending
822,SU - PRIORITY ACTION COUNTED NOT MAILED,Live/Pending
823,SU - PRIORITY ACTION MAILED,Live/Pending
824,SU - SUBSEQUENT FINAL REFUSAL WRITTEN,Live/Pending
825,SU - SUBSEQUENT FINAL MAILED,Live/Pending
900,EXPIRED,Dead/Expired
901,DEAD INVENTORIED AS REJECTED,Dead
968,NON REGISTRATION DATA WITHDRAWN,Dead
969,NON REGISTRATION DATA,Live/Pending
970,RECORD CREATED DUE TO ASSIGNMENT REQUEST,Indifferent
973,SUSPENDED PENDING ADMINISTRATIVE REVIEW,Live/Pending
